source_id	language	toxic	text
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000000	de	0	" Untaten mit ""Flüchtlingen"" oder Moslems in Verbindung zu bringen wird immer als rassistische Hetze gemeldet.  Fakten benennen = Rechtsextremismus. Da helfen nur blumige Umschreibungen. In der DDR hatte man auch Geheimsprachen entwickelt.."
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000001	de	0	Der Regenwald wird im Akkord abgeholzt ,das interessiert niemanden !
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000002	de	0	 Es geht darum was der Makler sich rein zieht.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000003	de	0	 Huhhhhh, Fritz, Du jagst mir richtig Angst ein 😜
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000004	de	1	   Hab versucht zu entziffern was du da von dir gibst, bin dabei behindert geworden du Bastard
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000005	de	1	"Wunderbar, wie die #Bundesdrogenkriegsbeauftragte sich als verlogenes Miststück outet.
🥦
#NieMehrCDUCSU 
#Cannabis 
#LegalizeIt 
#Regulierung
#Jugendschutz
#Verbraucherschutz https://t.co/1gn6wczu9F"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000006	de	0	Auch durch eure Zensur in Deutschland werdet ihr nichts ändern. Wie sehr in Deutschland zensiert wird kann ich hier im Ausland sehr gut erkennen. |LBR| #illner
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000007	de	1	"     Haben Sie von der Klimawandellobby schon eine einzige positive Folge des Klimawandels gehört?
Eine einzige?
Warum denn nicht?
Glauben SIE wirklich, die wissen zufällig NUR das Negative oder die verschweigen ganz zufällig und unabsichtlich nur das Positive?
Das ist doch NAIV!"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000008	de	1	Kirchner macht klar, mit welchem Niveau zurechnen ist... #Wahlarena #fckafd
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000009	de	0	  Wenn die AfD  dieses nicht zu verhindern versteht, dafür wurden sie gewählt, dann ist bald Schluss mit AfD..!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000010	de	1	 Ich will als Bundeskanzler wieder einen echte Mann, so eine mit Ecken und Kanten, einen echten Landesvater. Er sollte nicht linksgrün sein, Gendersprache zum kotzen finden und das Land endlich wieder stark machen. Vorschläge erbeten.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000011	de	1	 Belüg dich nicht selbst. Dieses Land existiert seit 60 Jahren und Palästina wurde immer mehr ausgerottet. Palästina wurde das Land geklaut und nun werden sie wie Dreck eingesperrt. Zur Seite mit Israel. Das hat nichts mit dem Judentum zu tun. Sondern mit dem Land Israel!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000012	de	1	   Hinterfotzig sind eure Bullen,mit 4 auf einen und dann haut der Milchbubi noch wie ein 3 jähriger von oben auf den Kopf. Aber ihr dummen 🇩🇪 Schafe benennt ja auch nen Sportplatz nach nem Kriminellen. Bevor ihr auf andere Staaten zeigt, von wegen Polizeigewalt,kehrt vor eurer Tür.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000013	de	1	"      Du solltest dich schämen du Honk benutz mal dein Hirn ! 
Und lass dich nicht so dumm manipulieren von irgendwelchen Parteien oder Wahlsprüchen - Programmen!
Sei Kritisch gegen alles und schau Mal hinter dir Kulissen deiner geliebten AFD"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000014	de	1	  Die #WerteUnion ist nicht konservativ. Es fehlt schon alleine der Anstand.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000015	de	0	 Vielleicht, um ihr ansonsten schlechtes Gewissen - insofern vorhanden - zu beruhigen?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000016	de	0	   Bleigießen fällt dieses Silvester bei uns aus. Bin gerade schon geschmolzen.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000017	de	0	 Wo ist das -Social Media-Team, das in der letzten Woche nahezu jeden Kommentar kommentiert hat, wenn jemand ohne einen Grund zu nennen, einen Studiogast als Hetzer diffamiert?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000018	de	1	"Der Hassprediger #Spangenberg von der #AfD hat kein Problem damit eiskalt den #DiviGate weiter voran zu treiben; #FakeNews gehören ja zum Tagesgeschäft der rechtsextremen ""Volkspartei""! 🤮

#FCKAfD #NoAfD #FCKNZS #NoNAZIS #NoH8 #AfDVerbotJETZT #BTW #BTW21 #Corona #COVID19 #Divi https://t.co/1NIJNqw69R"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000019	de	0	AfD gehört zu Deutschland nicht der Islam |LBR| #AfD #AfD #AfD
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000020	de	0	Wir retten die Welt nicht alleine ! Da gehören noch ganz andere ins Boot und die müssen auch eine Veränderung wollten. Davon sehe ich nichts...... Ich fahre weiter meinen alten Porsche durch die Lande und habe Spaß........ Übrigens, einfach mal hier reinhören: https://www.facebook.com/andreas.turschmann.3/videos/1244161859075732/
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000021	de	0	 Sorry aber haben Sie sich tatsächlich mal die Kommentare angesehen? Sie bitten mich um Respekt für Ihre Gäste. Das ist allerdings frech. Gerne dürfen Sie mich sperren. Das geht eindeutig zu weit.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000022	de	1	"   Alle die, die gegen Impfungen sind, vergessen im Umkehrschluss die Opfer des Virus. Dies sind erheblich mehr.

Dank der Schwurbler haben wir so hohe Zahlen und deshalb sind Impfungen notwendig. Mit #NoCovid wäre das nicht passiert.

Das alles ist #SchwereSchuld der Covidioten."
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000023	de	1	     Eine Diskussion mit denen ist sinnlos. Das wirklich Einzige, was die sog. #noafd  vereint ist ihr krankhafter Fremdenhass. Bei allen anderen politischen Fragen haben sie entweder überhaupt keinen Plan, oder streiten sich wie die Kesselflicker.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000024	de	1	"    👍 👍 👍
Die typische geistig flache Argumentationsstärke der Sozen.
Kein Wunder, dass Du #Reitschuster geistig nicht gewachsen bist."
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000025	de	0	 Sehr gut ! Dann die Komments von Leuten die sich lieber Pol.Korrekt bescheißen lassen und sich über Fäk-nee Scheißsprache beklagen!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000026	de	0	Infantiles, reaktionäres Geschwätz ist das, was der Eingangskommentator da entäußert.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000027	de	0	  Sou absurd das man es als Fake-News sehen möchte... |LBR| Hier wird Vergewaltigung legalisiert...!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000028	de	0	Wen die STIFTUNG Eurotransplat interessiert, kann sich hier in die riesigen Listen der Boardmitglieder und groups mal einlesen - es ist eine Vereinigung von Zwergländern, dann Frankreich, Spanien, Skandinavien lassen sich wohl nicht drauf ein. https://www.eurotransplant.org/cms/index.php?page=organization
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000029	de	1	    Alimentierung von 80% der Importierten, Ehrenmorde, Vergewaltigung nennen sie Hilfe. Religionsfreiheit, haben sie ein Mädchen erlebt, dass dem Christentum beitreten und einen Mann anderer Religion heiraten durfte, das ist ihre moslemische Religionsfreiheit
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000030	de	0	Mit Deutschland geht es mehr und mehr bergab wann begreift ihr das endlich?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000031	de	1	  Du Hurensohn ich werde deine Mutter hart in den arsch ficken danach wirst du deine Mami haten weil sie deinen Schwanz nicht geblasen hat.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000032	de	1	"Finds gut, dass es der Mensch mit der Vagina geworden ist, der für die Grün*innen als Kanzler ins Rennen geht. 

Ne Frau hieven die meisten so schnell wohl nicht nochmal auf den Kanzlerthron. 🤪 hihi

#Baerbock  https://t.co/FLvjzJ3wN5"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000033	de	1	 Ich glaube die Wähler und Sympathisanten der AfD sind dauer blau. Sonst würden sie mitbekommen was das für eine menschenverachtende Partei sie . AfD Anhänger, stellen Sie das Trinken ein und werden klar im Kopf. Hören -und Lesen sie welchen Mist dieses Partei verzapft. #noafd
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000034	de	1	" Sehr sehr gut YouTube... Diese widerlichste Lügen ""Presse"" von nicht-Journalisten ist unerträglich und gefährlich."
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000035	de	1	"Öffnungspläne ab 17. Mai

es hilft nichts - der Rotzlöffel MUSS WEG ‼️

wir ERLAUBEN IHNEN NICHT, dass sie wie schon das ganze Jahr über verfassungswidrig weiter agieren 

W I E N  1. Mai ‼️

https://t.co/b3yOnnbJtN https://t.co/XtjmQhDBxX"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000036	de	1	Wer wundert sich noch, dass müsste doch nun schon jeder wissen unsere Politiker haben Dreck anstecken. Auch wenn es jetzt ruhig geworden ist.      Fragwürdige Geschäfte in der Pandemie: Vergabeanwälte kritisieren Laschets NRW-Regierung https://t.co/KKPlbP9JmF
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000037	de	1	              Die ganze Linke ist falsch, gibt da schon welche die es mit der Solidarität etwas anders sehen, musste da einigen entfolgen.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000038	de	0	 Die Propaganda wirkt leider bei den Deutschen perfekt, da sie glauben der Onkel von der Tagesschau bringt echte NACHrichten
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000039	de	0	Interessant, diese Aussage..... das Herz schlägt nur, weil eine Herz-Lungenmaschine den Kreislauf stabil hält. Schaltet man diese Maschine ab, bleibt auch die menschliche Pumpe stehen. Ich verstehe diese Aussage nicht...... es scheint mal wieder das richtige Fachpersonal dort zu sitzen.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000040	de	0	Ich finde nicht, dass das ein Eingriff in die Selbstbestimmung ist. Im Gegenteil! Es zwingt einen dazu über sich selbst zu bestimmen wenn man keine Organe will. Also selbstbestimmter geht es fast schon nicht mehr.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000041	de	0	 wie gesagt, Wissenschaftlichkeit zählt nichts mehr. Es geht um Prioritäten, nicht um die Tatsache daß ein Junge tatsächlich auch mal mit einem Teddy spielt. Trotzdem wird der Traktor gegen die Barbie gewinnen.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000042	de	1	"Und mal wieder reicht ein kurzer Blick auf die #Trends um komplett mit social media für den Tag durch zu sein...
Die rechten Spacken scheinen wieder in topform zu sein 🤮 was ist denn bitte falsch mit euch?

#AnneWill #göre #Neubauer #Antisemitismus https://t.co/jgtEAWs9jh"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000043	de	0	Der #HamburgPride 2015 ist vorbei, es war wieder einmal grandios. Vielen Dank an alle, die dabei waren! #LoveIsLove #LoveWins
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000044	de	0	 Wir sind selbstverständlich regierungsfähig und bereit, Regierungsverantwortung zu übernehmen. |LBR| Wer legt eigentlich fest, wer regierungsfähig ist?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000045	de	0	 Foto: (c) Jüdisches Forum für Demokratie und gegen Antisemitismus e.V.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000046	de	0	Dienstag feiert die Welt Luther. Niemand weiß, das Luther der größte Feind des Islam war. War er ein NAZI.???
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000047	de	0	 Könnte jeder bauen, wenn die (staatlich bedingten) Kosten nicht so hoch wären
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000048	de	1	  Die Kirche mausert sich zum größten Gegner der Christenheit - Geld, Islamisten und Schwule sind vielen von ihnen wichtiger als christliche Familien. Dazu kommt noch die Gier nach Geld und Macht - nur mit der Förderung des Islam macht die Kirche aus Geldgier den gleichen Fehler --
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000049	de	1	 Willkommen im Club. Deutschlands Untergang ist nicht mehr ferne. Dank an die Dummheit der Wählerschaft. Von Demokratie zum Kommunismus. Die Dämonisch Dunkelheit Merkel und ihr Regime sind die größten Verbrecher und Lügner Deutschlands. Berlin muss Fallen.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000050	de	0	""" 675 Milliarden!"" Das ist dein Denkfehler. Auf was für Einnamen kann denn der Staat Deutschland zurück greifen?"
